glacier0009_iter02_07,not_found
glacier0009_iter02_08,not_found
glacier0009_iter02_09,not_found
glacier0009_iter02_10,not_found
glacier0009_iter03_01,not_found
glacier0009_iter03_02,not_found
glacier0009_iter03_03,not_found
glacier0009_iter03_04,not_found
glacier0009_iter03_05,not_found
glacier0009_iter03_06,not_found
glacier0009_iter03_07,not_found
glacier0009_iter03_08,not_found
glacier0009_iter03_09,not_found
glacier0009_iter03_10,not_found
glacier0010_iter01_01,not_found
glacier0010_iter01_02,not_found
glacier0010_iter01_03,not_found
glacier0010_iter01_04,not_found
glacier0010_iter01_05,not_found
glacier0010_iter01_06,not_found
glacier0010_iter01_07,not_found
glacier0010_iter01_08,not_found
glacier0010_iter01_09,not_found
glacier0010_iter01_10,not_found
glacier0010_iter02_01,not_found
glacier0010_iter02_02,not_found
glacier0010_iter02_03,not_found
glacier0010_iter02_04,not_found
glacier0010_iter02_05,not_found
glacier0010_iter02_06,not_found
glacier0010_iter02_07,not_found
glacier0010_iter02_08,not_found
glacier0010_iter02_09,not_found
glacier0010_iter02_10,not_found
glacier0010_iter03_01,not_found
glacier0010_iter03_02,not_found
glacier0010_iter03_03,not_found
glacier0010_iter03_04,not_found
glacier0010_iter03_05,not_found
glacier0010_iter03_06,not_found
glacier0010_iter03_07,not_found
glacier0010_iter03_08,not_found
glacier0010_iter03_09,not_found
glacier0010_iter03_10,not_found
glaciera011_iter01_01,   512816.9
glaciera011_iter01_02,   512533.9
glaciera011_iter01_03,   512547.4
glaciera011_iter01_04,   512542.6
glaciera011_iter01_05,   512559.5
glaciera011_iter01_06,   512323.1
glaciera011_iter01_07,   512359.8
glaciera011_iter01_08,   512373.7
glaciera011_iter01_09,   512369.3
glaciera011_iter01_10,   512364.4
glaciera011_iter02_01,not_found
glaciera011_iter02_02,not_found
glaciera011_iter02_03,not_found
glaciera011_iter02_04,not_found
glaciera011_iter02_05,not_found
glaciera011_iter02_06,not_found
glaciera011_iter02_07,not_found
glaciera011_iter02_08,not_found
glaciera011_iter02_09,not_found
glaciera011_iter02_10,not_found
glaciera011_iter03_01,not_found
glaciera011_iter03_02,not_found
glaciera011_iter03_03,not_found
glaciera011_iter03_04,not_found
glaciera011_iter03_05,not_found
glaciera011_iter03_06,not_found
glaciera011_iter03_07,not_found
glaciera011_iter03_08,not_found
glaciera011_iter03_09,not_found
glaciera011_iter03_10,not_found
glacierb011_iter01_01,   519568.8
glacierb011_iter01_02,   519203.5
glacierb011_iter01_03,   519172.9
glacierb011_iter01_04,   518929.4
glacierb011_iter01_05,   518677.8
glacierb011_iter01_06,   517530.0
glacierb011_iter01_07,   517302.3
glacierb011_iter01_08,   516959.4
glacierb011_iter01_09,   516890.5
glacierb011_iter01_10,   516771.3
glacierb011_iter02_01,not_found
glacierb011_iter02_02,not_found
glacierb011_iter02_03,not_found
glacierb011_iter02_04,not_found
glacierb011_iter02_05,not_found
glacierb011_iter02_06,not_found
glacierb011_iter02_07,not_found
glacierb011_iter02_08,not_found
glacierb011_iter02_09,not_found
glacierb011_iter02_10,not_found
glacierb011_iter03_01,not_found
glacierb011_iter03_02,not_found
glacierb011_iter03_03,not_found
glacierb011_iter03_04,not_found
glacierb011_iter03_05,not_found
glacierb011_iter03_06,not_found
glacierb011_iter03_07,not_found
glacierb011_iter03_08,not_found
glacierb011_iter03_09,not_found
glacierb011_iter03_10,not_found
glacier0012_iter01_01,not_found
glacier0012_iter01_02,not_found
glacier0012_iter01_03,not_found
glacier0012_iter01_04,not_found
glacier0012_iter01_05,not_found
glacier0012_iter01_06,not_found
glacier0012_iter01_07,not_found
glacier0012_iter01_08,not_found
glacier0012_iter01_09,not_found
glacier0012_iter01_10,not_found
glacier0012_iter02_01,not_found
glacier0012_iter02_02,not_found
glacier0012_iter02_03,not_found
glacier0012_iter02_04,not_found
glacier0012_iter02_05,not_found
glacier0012_iter02_06,not_found
glacier0012_iter02_07,not_found
glacier0012_iter02_08,not_found
glacier0012_iter02_09,not_found
glacier0012_iter02_10,not_found
glacier0012_iter03_01,not_found
glacier0012_iter03_02,not_found
glacier0012_iter03_03,not_found
glacier0012_iter03_04,not_found
glacier0012_iter03_05,not_found
glacier0012_iter03_06,not_found
glacier0012_iter03_07,not_found
glacier0012_iter03_08,not_found
glacier0012_iter03_09,not_found
glacier0012_iter03_10,not_found
glacier0013_iter01_01,   523105.0
glacier0013_iter01_02,   523109.3
glacier0013_iter01_03,   523386.5
glacier0013_iter01_04,   523424.8
glacier0013_iter01_05,   523474.9
glacier0013_iter01_06,   523858.7
glacier0013_iter01_07,   523920.9
glacier0013_iter01_08,   523987.8
glacier0013_iter01_09,   524070.2
glacier0013_iter01_10,   524437.3
glacier0013_iter02_01,not_found
glacier0013_iter02_02,not_found
glacier0013_iter02_03,not_found
glacier0013_iter02_04,not_found
glacier0013_iter02_05,not_found
glacier0013_iter02_06,not_found
glacier0013_iter02_07,not_found
glacier0013_iter02_08,not_found
glacier0013_iter02_09,not_found
glacier0013_iter02_10,not_found
glacier0013_iter03_01,not_found
glacier0013_iter03_02,not_found
glacier0013_iter03_03,not_found
glacier0013_iter03_04,not_found
glacier0013_iter03_05,not_found
glacier0013_iter03_06,not_found
glacier0013_iter03_07,not_found
glacier0013_iter03_08,not_found
glacier0013_iter03_09,not_found
glacier0013_iter03_10,not_found
glacier0014_iter01_01,not_found
glacier0014_iter01_02,not_found
glacier0014_iter01_03,not_found
glacier0014_iter01_04,not_found
glacier0014_iter01_05,not_found
glacier0014_iter01_06,not_found
glacier0014_iter01_07,not_found
glacier0014_iter01_08,not_found
glacier0014_iter01_09,not_found
glacier0014_iter01_10,not_found
glacier0014_iter02_01,not_found
glacier0014_iter02_02,not_found
glacier0014_iter02_03,not_found
glacier0014_iter02_04,not_found
glacier0014_iter02_05,not_found
glacier0014_iter02_06,not_found
glacier0014_iter02_07,not_found
glacier0014_iter02_08,not_found
glacier0014_iter02_09,not_found
glacier0014_iter02_10,not_found
glacier0014_iter03_01,not_found
glacier0014_iter03_02,not_found
glacier0014_iter03_03,not_found
glacier0014_iter03_04,not_found
glacier0014_iter03_05,not_found
glacier0014_iter03_06,not_found
glacier0014_iter03_07,not_found
glacier0014_iter03_08,not_found
glacier0014_iter03_09,not_found
glacier0014_iter03_10,not_found
glacier0015_iter01_01,   570703.2
glacier0015_iter01_02,   570114.6
glacier0015_iter01_03,   570025.8
glacier0015_iter01_04,   569829.9
glacier0015_iter01_05,   569544.5
glacier0015_iter01_06,   569308.7
glacier0015_iter01_07,   569223.1
glacier0015_iter01_08,   569857.2
glacier0015_iter01_09,   569992.3
glacier0015_iter01_10,   570701.2
glacier0015_iter02_01,not_found
glacier0015_iter02_02,not_found
glacier0015_iter02_03,not_found
glacier0015_iter02_04,not_found
glacier0015_iter02_05,not_found
glacier0015_iter02_06,not_found
glacier0015_iter02_07,not_found
glacier0015_iter02_08,not_found
glacier0015_iter02_09,not_found
glacier0015_iter02_10,not_found
glacier0015_iter03_01,not_found
glacier0015_iter03_02,not_found
glacier0015_iter03_03,not_found
glacier0015_iter03_04,not_found
glacier0015_iter03_05,not_found
glacier0015_iter03_06,not_found
glacier0015_iter03_07,not_found
glacier0015_iter03_08,not_found
glacier0015_iter03_09,not_found
glacier0015_iter03_10,not_found
glacier0016_iter01_01,   617866.8
glacier0016_iter01_02,   614764.3
glacier0016_iter01_03,   610380.8
glacier0016_iter01_04,   607917.8
glacier0016_iter01_05,   607341.8
glacier0016_iter01_06,   606964.4
glacier0016_iter01_07,   607074.0
glacier0016_iter01_08,   607266.2
glacier0016_iter01_09,   605685.9
glacier0016_iter01_10,   605106.2
glacier0016_iter02_01,   613658.3
glacier0016_iter02_02,   612866.8
glacier0016_iter02_03,   612057.9
glacier0016_iter02_04,   611606.6
glacier0016_iter02_05,   610892.6
glacier0016_iter02_06,   610340.7
glacier0016_iter02_07,   609828.3
glacier0016_iter02_08,   609697.8
glacier0016_iter02_09,   609203.2
glacier0016_iter02_10,   608798.4
glacier0016_iter03_01,not_found
glacier0016_iter03_02,not_found
glacier0016_iter03_03,not_found
glacier0016_iter03_04,not_found
glacier0016_iter03_05,not_found
glacier0016_iter03_06,not_found
glacier0016_iter03_07,not_found
glacier0016_iter03_08,not_found
glacier0016_iter03_09,not_found
glacier0016_iter03_10,not_found
glacier0017_iter01_01,   611890.8
glacier0017_iter01_02,   611349.6
glacier0017_iter01_03,   611204.6
glacier0017_iter01_04,   611096.5
glacier0017_iter01_05,   610683.8
glacier0017_iter01_06,   610289.2
glacier0017_iter01_07,   610247.4
glacier0017_iter01_08,   610321.2
glacier0017_iter01_09,1_point
glacier0017_iter01_10,1_point
glacier0017_iter02_01,not_found
glacier0017_iter02_02,not_found
glacier0017_iter02_03,not_found
glacier0017_iter02_04,not_found
glacier0017_iter02_05,not_found
glacier0017_iter02_06,not_found
glacier0017_iter02_07,not_found
glacier0017_iter02_08,not_found
glacier0017_iter02_09,not_found
glacier0017_iter02_10,not_found
glacier0017_iter03_01,not_found
glacier0017_iter03_02,not_found
glacier0017_iter03_03,not_found
glacier0017_iter03_04,not_found
glacier0017_iter03_05,not_found
glacier0017_iter03_06,not_found
glacier0017_iter03_07,not_found
glacier0017_iter03_08,not_found
glacier0017_iter03_09,not_found
glacier0017_iter03_10,not_found
glacier0018_iter01_01,   638170.3
glacier0018_iter01_02,   638105.3
glacier0018_iter01_03,   638353.3
glacier0018_iter01_04,   638359.1
glacier0018_iter01_05,   638335.2
glacier0018_iter01_06,   638334.2
glacier0018_iter01_07,   638329.9
glacier0018_iter01_08,   638622.4
glacier0018_iter01_09,   638911.0
glacier0018_iter01_10,   638919.4
glacier0018_iter02_01,not_found
glacier0018_iter02_02,not_found
glacier0018_iter02_03,not_found
glacier0018_iter02_04,not_found
glacier0018_iter02_05,not_found
glacier0018_iter02_06,not_found
glacier0018_iter02_07,not_found
glacier0018_iter02_08,not_found
glacier0018_iter02_09,not_found
glacier0018_iter02_10,not_found
glacier0018_iter03_01,not_found
glacier0018_iter03_02,not_found
glacier0018_iter03_03,not_found
glacier0018_iter03_04,not_found
glacier0018_iter03_05,not_found
glacier0018_iter03_06,not_found
glacier0018_iter03_07,not_found
glacier0018_iter03_08,not_found
glacier0018_iter03_09,not_found
glacier0018_iter03_10,not_found
glacier0019_iter01_01,   633294.6
glacier0019_iter01_02,   633803.8
glacier0019_iter01_03,   633796.9
glacier0019_iter01_04,   634335.3
glacier0019_iter01_05,   634269.4
glacier0019_iter01_06,   634732.8
glacier0019_iter01_07,   634827.3
glacier0019_iter01_08,   635089.8
glacier0019_iter01_09,   635785.3
glacier0019_iter01_10,   636478.6
glacier0019_iter02_01,   635113.2
glacier0019_iter02_02,   634973.5
glacier0019_iter02_03,   634884.4
glacier0019_iter02_04,   635125.5
glacier0019_iter02_05,   635253.7
glacier0019_iter02_06,   635121.7
glacier0019_iter02_07,   635286.6
glacier0019_iter02_08,   635774.1
glacier0019_iter02_09,   635714.4
glacier0019_iter02_10,   635767.2
glacier0019_iter03_01,   635416.2
glacier0019_iter03_02,   635428.6
glacier0019_iter03_03,   635441.2
glacier0019_iter03_04,   635459.2
glacier0019_iter03_05,   635483.5
glacier0019_iter03_06,   635508.8
glacier0019_iter03_07,   635537.4
glacier0019_iter03_08,   635569.6
glacier0019_iter03_09,   635606.2
glacier0019_iter03_10,   635627.2
glacier0020_iter01_01,not_found
glacier0020_iter01_02,not_found
glacier0020_iter01_03,not_found
glacier0020_iter01_04,not_found
glacier0020_iter01_05,not_found
glacier0020_iter01_06,not_found
glacier0020_iter01_07,not_found
glacier0020_iter01_08,not_found
glacier0020_iter01_09,not_found
glacier0020_iter01_10,not_found
glacier0020_iter02_01,not_found
glacier0020_iter02_02,not_found
glacier0020_iter02_03,not_found
glacier0020_iter02_04,not_found
glacier0020_iter02_05,not_found
